NEWID,FINATXEM
05104364,52040.2
05104384,121333
05104404,41884.2
05104434,28278
05104484,21745.6
05104524,26318.2
05104534,146921.4
05104554,104945.2
05104564,35244
05104574,46136
05104604,874
05104644,212471.1
05104714,124946.2
05104744,18227
05104774,48288
05104794,21451
05104804,14594
05104864,294974
05104874,100815.4
05104904,119206
05104934,45177
05104964,115895
05104984,197334
05104994,89030
05105014,106622.4
05105024,105382.6
05105084,108219
05105124,36157.8
05105134,105505
05105154,81323.8
05105174,122891.8
05105214,103309.6
05105244,84962.8
05105284,106799
05105344,54087
05105374,10980
05105414,27432
05105424,27158.6
05105524,12055
05105534,106509
05105544,92097
05105564,103549
05105574,30311.6
05105634,79547.8
05105644,48791
05105654,199297
05105694,161958.6
05105734,47687.8
05105744,54412
05105774,51705
05105804,118375
05105894,101228
05105944,34322
05106014,14479
05106034,87803
05106124,21559
05106144,307809.6
05106174,37384
05106194,71785.8
05106204,77723.4
05106234,21843
05106254,124137
05106274,54430.8
05106294,12000
05106304,46072.4
05106314,1740
05106334,120342.6
05106434,262587
05106464,45356.8
05106534,140988.3
05106554,33599.4
05106564,109531
05106604,52990
05106624,159887.8
05106664,92721.2
05106674,90298
05106714,64084.2
05106734,102698
05106744,121051
05106884,22592.6
05106934,94969
05106994,262188.2
05107004,53515.6
05107014,32903.8
05107064,159932.4
05107094,82255
05107114,136714.8
05107124,62211
05107144,16824.2
05107154,53058.4
05107164,60654.6
05107194,42654
05107224,55723
05107264,44656
05107274,231795
05107294,59358
05107334,72392.4
05107344,149263
05107364,66316
05107404,20809
05107414,139589
05107424,72665
05107454,35855
05107464,305637
05107504,61054
05107574,84774.4
05107634,59850.6
05107644,164178
05107764,28564
05107784,7702
05107814,124559
05107824,141090
05107834,37207
05107864,20399
05107874,47799
05107924,142743
05107934,66092
05107964,43475.4
05108004,196636.4
05108014,20939
05108024,62043.4
05108054,27072.8
05108084,47677
05108144,57438.4
05108264,129390
05108274,19268
05108294,31423.4
05108314,22431
05108334,8693
05108374,35712
05108384,89913
05108484,36889.4
05108524,23541
05108544,47383
05108574,115241.2
05108584,12322
05108594,32077.6
05108664,78190
05108674,224694
05108704,33484
05108734,68182
05108764,76874
05108784,34024
05108794,330177.9
05108834,117125.4
05108894,94705.6
05108974,211647
05108994,9404
05109014,8289
05109034,14037
05109064,272737.2
05109074,31776.4
05109094,4700
05109104,35231
05109114,47888
05109124,16992
05109204,55305
05109274,104418.4
05109314,23610.6
05109374,93257
05109414,9655.2
05109424,52228
05109434,94059
05109464,16641.8
05109484,197583.2
05109544,29630
05109564,37954
05109584,6182
05109604,133793.4
05109634,222773.6
05109654,17797
05109694,27027
05109704,54649
05109734,147172.6
05109794,77961
05109864,73293.6
05109944,76581
05109974,38628.4
05110034,92075.8
05110044,157347
05110064,39653.2
05110074,-44240.2
05110104,48088.2
05110144,40363
05110244,25950.8
05110254,132612.3
05110274,62972.4
05110284,36070
05110344,3672
05110354,148321.8
05110374,23141
05110444,149556
05110464,54156
05110494,78009
05110504,203489
05110514,29576.2
05110544,28470.6
05110574,71190.6
05110584,500
05110594,100022
05110614,15240
05110634,22429
05110674,97909.4
05110694,116928
05110704,79601.2
05110724,418975.4
05110734,173896
05110744,12108
05110754,92488.6
05110824,64200
05110834,40618
05110864,80393
05110944,98533.4
05111054,69554
05111064,24179
05111074,155961.2
05111094,30615
05111104,45000
05111124,8577
05111144,5710
05111204,17991.4
05111254,61554
05111274,210274
05111304,82531
05111314,1040
05111344,27417
05111394,104375
05111404,59518
05111414,82241
05111474,23102.4
05111524,164285.8
05111544,3
05111604,235277.6
05111634,70703
05111674,32431
05111734,28018
05111774,29489
05111784,57073
05111804,20255
05111834,41085.4
05111864,49264
05111884,13953
05111894,202488.8
05111924,167994.7
05112034,99318
05112074,68249
05112134,93050
05112164,148335.6
05112194,94453
05112224,46634
05112244,79876
05112374,130665.6
05112424,23118
05112434,52152
05112444,55663.2
05112464,43067
05112644,115815
05112704,15765.8
05112724,16067
05112734,187443.2
05112754,25410
05112764,34335
05112784,66815.8
05112794,9677
05112834,158643.8
05112864,69318.4
05112874,24819
05113004,54106
05113034,46953.4
05113044,97093
05113074,161804
05113134,20648
05113164,42003
05113194,41608
05113204,32013
05113224,72021.2
05113254,130919
05113274,41941
05113294,11915.8
05113334,47365
05113384,268176.2
05113424,43175
05113504,13356
05113514,40367.4
05113524,79358.8
05113614,140061.8
05113634,407053
05113664,142983
05113764,33966
05113784,35776
05113864,50357.4
05113874,138867.7
05113904,20521.2
05113914,119634
05113994,72097
05114004,214786
05114014,77510
05114164,42204
05114194,20490
05114204,75984
05114214,229889.8
05114234,73193.8
05114254,76522
05114304,15680
05114334,90521
05114344,85917.4
05114354,74988.4
05114384,120146.8
05114404,74374
05114414,60971.2
05114434,88182.2
05114454,117146
05114494,53379
05114504,245863.6
05114544,138926
05114554,114011
05114584,62512
05114604,116123
05114654,207531.7
05114684,173197.2
05114744,70162
05114784,45624.8
05114794,181703.4
05114804,20319
05114824,123189.2
05114834,133753.3
05114854,33262
05114954,110755.8
05114974,103151
05114994,54437.8
05115044,31646.2
05115094,39521
05115104,47326
05115124,35911
05115134,97475
05115144,82688
05115154,49366
05115164,52621
05115174,131295
05115224,26146
05115234,86058
05115274,100693.8
05115294,161120
05115334,128627.8
05115344,15943
05115374,82679
05115394,292494.2
05115434,267258.7
05115494,48608
05115564,61133
05115584,67939
05115604,5000
05115614,22025
05115664,0
05115684,38972
05115704,31098
05115714,128101
05115754,60686.2
05115784,189713
05115794,13341.4
05115844,346497
05115854,25417
05115864,62977.2
05115894,91776.2
05115914,22304.2
05115934,27934
05116004,65750
05116034,62029
05116054,36304.8
05116064,44105
05116074,19827.2
05116084,54453
05116124,97760
05116204,30599
05116224,28729
05116294,235609
05116304,114855
05116324,131553
05116344,25021
05116384,57658
05116414,214291.2
05116424,311522.8
05116434,16514.8
05116444,42096
05116504,95147.4
05116564,89267.8
05116584,82140.6
05116624,105228
05116634,59671
05116654,222415
05116664,99340.6
05116674,76144
05116684,9048
05116694,46075
05116704,214155
05116774,37419
05116804,6252
05116834,16447
05116894,117853.8
05116934,399637.2
05116944,261061
05116974,376313.2
05117004,41420.4
05117024,67954
05117064,32350
05117084,53247
05117204,105820
05117234,55750
05117294,149044
05117334,25359
05117344,104265
05117394,55709.6
05117414,38426
05117434,128533.4
05117444,109058
05117484,104774
05117544,57712
05117554,82858.2
05117564,88462.8
05117584,37775
05117624,67410
05117684,60910
05117714,1704
05117744,65190
05117784,15015.8
05117854,60133
05117904,50377
05117924,243247.6
05117934,52293.2
05117954,69622.2
05117974,106063
05117984,99849
05118034,80525
05118144,104573.2
05118154,68210.2
05118164,107789.2
05118214,15179
05118274,84951.8
05118334,576
05118354,46589
05118384,33919
05118394,166444.4
05118434,47374
05118464,70466.2
05118494,35842
05118504,70438
05118534,25535
05118554,170366
05118684,31024
05118744,71493.2
05118754,37599
05118784,39717
05118794,59643.4
05118804,41817.4
05118824,189522.4
05118874,7141.4
05118884,133200
05119004,16475
05119054,27811
05119064,67229
05119094,42701.2
05119114,18035
05119124,147575.3
05119144,85386
05119164,48739.8
05119174,49483
05119204,103030.4
05119214,69384
05119254,1755
05119284,187866.8
05119344,2774.2
05119384,49473
05119394,331581
05119434,128838
05119454,214463
05119484,172893
05119514,25889
05119544,20111
05119574,34139
05119584,111967
05119594,7470
05119634,17100
05119734,71713
05119764,55658
05119914,12492.8
05119944,54489
05119984,84812
05120044,155177.4
05120074,118718
05120084,124312
05120124,61122.2
05120174,29128
05120204,55961
05120214,50288
05120244,88886
05120254,75833
05120274,-293127
05120314,24000
05120354,55840.4
05120384,209560.2
05120414,37415
05120424,23181.4
05120454,52651.2
05120514,44233
05120544,70928.4
05120564,68600
05120604,27345.4
05120614,105033.2
05120634,66024
05120644,19750
05120704,66096
05120714,148684.7
05120764,33269.6
05120774,156742
05120784,84679
05120804,21208.8
05120834,42387.4
05120844,59641.6
05120854,95991
05120884,41828
05120914,107418.8
05120954,34954
05120984,60821.2
05120994,61934
05121014,34535
05121024,483294.5
05121084,62789
05121104,48086
05121144,158953.2
05121164,121869
05121184,10818
05121224,82631.6
05121244,36331.8
05121264,2190.2
05121274,20047
05121314,30659.4
05121334,212884
05121384,1700
05121414,48152
05121434,147785
05121454,2356
05121484,83723.2
05121514,52826
05121544,12431
05121554,91006
05121614,60285.8
05121664,64101
05121714,62282
05121724,57677
05121774,28460.2
05121804,54921.8
05121824,78604
05121844,30650
05121854,47555
05121904,88849
05121914,44337
05121934,50993.6
05121954,61408
05121964,40203
05121994,45115.6
05122074,41413
05122154,157753
05122174,29975
05122194,303734.6
05122214,55312
05122264,94491
05122284,21183
05122294,79527.6
05122304,101399
05122394,47431
05122404,233311.6
05122424,19859
05122434,33522.8
05122444,77662.6
05122454,61252
05122474,38411
05122514,18921
05122544,34178
05122554,218805
05122584,47146
05122594,124516.6
05122624,19831
05122674,276738.6
05122714,24775
05122734,70766.4
05122744,122490
05122754,121738
05122774,112075
05122834,64398
05122844,89784
05122894,62574.8
05122924,104643.4
05123044,38860
05123114,54822
05123154,156430
05123164,294272.2
05123184,211996.2
05123194,48934
05123234,132800
05123284,65355.6
05123294,409863.2
05123304,33239
05123314,148693
05123344,58500
05123374,17741
05123384,77460
05123504,308083
05123524,107214
05123544,160582.3
05123554,16856
05123574,129510.3
05123594,126359
05123614,109014
05123624,33815
05123644,16217
05123654,118591
05123724,44908
05123774,158242
05123804,23114
05123814,90469.3
05123824,34125
05123854,170708.2
05123874,16258
05123914,28395
05123954,0
05124014,135142
05124024,56599
05124034,572633.8
05124044,53748
05124074,39295.8
05124124,102537
05124134,8537.4
05124164,20354
05124204,35858.2
05124254,23533
05124294,93479
05124304,76694
05124314,64637.2
05124354,15600
05124384,52913
05124404,193834
05124414,24789.6
05124454,414591.8
05124464,183683
05124484,87610.4
05124564,161511
05124584,34258
05124624,96765.6
05124634,119391
05124674,29832
05124764,81999
05124794,243212
05124844,29993
05124864,86618
05124934,134151.2
05124954,106277.2
05124964,67699
05125024,129322
05125034,79701.6
05125054,44019
05125074,97427
05125114,17707.4
05125154,22403
05125214,109475.2
05125224,111325.2
05125254,42525.2
05125264,94050.4
05125284,55129
05125324,62557
05125334,12246.2
05125394,116777.6
05125434,105539
05201373,21459
05201413,39937
05201463,84414.2
05201473,13404
05201483,142854
05201603,3102.6
05201613,77446.6
05201663,212511.2
05201673,69260
05201693,172721.2
05201723,85509
05201733,55926.4
05201743,181929.6
05201773,87907.6
05201813,144909
05201823,16715
05201853,40032
05201873,158002
05201883,151616.2
05201893,2796.2
05201913,2280
05201933,409890.2
05201953,149729
05201963,47542.4
05201973,71732
05201993,99822.6
05202003,40379
05202023,61705
05202043,127019
05202303,138854.2
05202313,24868.2
05202343,39060
05202353,29033.4
05202403,87386
05202423,68389
05202443,133142.4
05202483,25933.4
05202503,45648.6
05202543,55245
05202583,39458.8
05202613,126708.4
05202623,71580
05202683,41033
05202703,62482
05202733,25200
05202743,22489
05202783,40383.2
05202803,43931
05202813,289699
05202853,42358
05202883,301
05202903,30779
05203043,367067.8
05203053,107641
05203073,129376
05203143,48364.2
05203163,60203
05203173,197570.6
05203193,32496.2
05203213,138547.8
05203253,23186
05203313,1151
05203333,15708
05203343,71139.4
05203353,96637
05203373,121320
05203383,57326
05203413,115309.4
05203473,65577.4
05203583,137085
05203643,18000
05203653,18909.8
05203663,213950
05203703,59218
05203763,141505.4
05203813,72972
05203853,65264
05203863,199914
05203913,886
05203943,75516.6
05203973,168794.4
05203993,3836
05204023,23711
05204053,34013
05204143,38181.4
05204193,34548
05204243,100676
05204273,38758
05204283,24027
05204293,99308
05204333,53882.8
05204383,28054
05204393,14530
05204403,89371
05204413,77643
05204453,102603
05204513,43510
05204533,44717
05204603,44906
05204613,199655
05204643,281609.6
05204663,89584.8
05204713,104146
05204753,40450.6
05204783,67825.2
05204803,41262.8
05204813,74585.8
05204873,1755
05204953,75653
05204963,15142.4
05204973,39186
05204983,81977
05205003,81960
05205043,78763
05205063,84902
05205123,75265.8
05205153,6625
05205183,75202
05205203,37145.2
05205253,19575.8
05205263,31806
05205283,43322.2
05205343,134443
05205363,11212
05205413,9000
05205503,4050
05205513,66059.4
05205533,18234
05205553,85283
05205603,85349
05205613,12144
05205643,40532
05205673,25017
05205683,1740
05205693,31229
05205733,87323
05205743,50307
05205753,20000
05205763,67486.8
05205773,28243.6
05205783,183652.4
05205833,55150.4
05205843,68044.6
05205853,82773
05205863,247294
05205883,5270.8
05205893,12221.4
05205953,262965.6
05205963,93594
05206003,32158.6
05206013,36000
05206033,61802
05206063,127457
05206073,78917
05206143,90162
05206233,46294.2
05206273,125754
05206293,34763
05206313,74198
05206373,56758
05206383,281278.8
05206423,16084
05206443,14626
05206453,70367.6
05206473,119500
05206483,109614
05206523,38362
05206563,38980
05206573,53987
05206593,34135
05206613,94834.2
05206663,96714
05206673,1680
05206733,33410.4
05206743,94917
05206783,12751.4
05206813,14927
05206833,64232
05206843,167875.3
05206883,12855.4
05206903,25118
05206913,97612
05206963,43253
05206993,41283.6
05207013,59687
05207023,14941
05207033,60495
05207043,20527.6
05207063,107636
05207073,73881
05207094,42144.4
05207123,53887
05207133,23864
05207163,48214
05207183,72877.4
05207203,15726.2
05207253,284549.8
05207273,88166.8
05207303,86718
05207333,110101.6
05207353,246040.8
05207383,248805
05207403,311988.6
05207543,174804.6
05207583,230264.1
05207593,64004
05207663,51883
05207673,111883
05207713,165885.4
05207723,96317
05207793,39358
05207823,89705.8
05207843,46254
05207853,34613
05207953,70616
05207963,300637.8
05207973,28275.6
05208003,99584.4
05208023,29036
05208033,1292
05208043,67906
05208053,10236
05208073,47935.6
05208093,97940
05208103,227494
05208143,92899.2
05208173,202127.6
05208233,29724
05208253,65763
05208293,16544
05208313,73035
05208333,60974
05208363,19522
05208413,46569
05208433,34237
05208453,24165
05208463,20359.6
05208473,48532.4
05208523,29140
05208553,135984
05208573,85147
05208603,53069
05208633,33797
05208653,51558
05208663,19439
05208673,28084.8
05208693,78818.6
05208703,394052.6
05208723,50568
05208743,86028.8
05208763,65885
05208773,95349
05208803,26386
05208883,32925
05208893,65691
05208903,99019
05208993,205836.2
05209013,1754
05209023,56743
05209043,70265.8
05209063,86667.8
05209093,16860
05209123,450989.2
05209143,101175
05209153,100253
05209163,81828.8
05209273,37478
05209303,58899.8
05209313,96350
05209323,130926
05209333,130365
05209373,194357
05209383,87196
05209393,51326
05209423,4800
05209433,69563.8
05209453,164894
05209463,46742
05209473,21006.4
05209493,44578
05209543,97393
05209603,22753
05209613,84569
05209733,37638
05209783,12570.2
05209803,27061
05209813,15455
05209823,39553
05209843,16081.4
05209853,229998.4
05209873,85776
05209893,45624
05209933,24625.2
05210103,27571
05210113,50647
05210143,305287.4
05210203,44311.4
05210313,106475
05210383,46344
05210433,128547
05210453,23870.2
05210513,86827.8
05210533,18596
05210553,31936
05210623,319138.2
05210633,11675
05210693,130518.2
05210703,123857.4
05210713,85460
05210723,65399
05210733,31792.4
05210743,218619
05210753,92728
05210763,108163
05210783,20735
05210803,76215
05210813,153346
05210853,15288
05210913,85904.2
05210953,283787.8
05211013,200542
05211023,27576.2
05211033,24160
05211053,304641.6
05211083,50385
05211103,97491
05211143,106123.6
05211153,28734.4
05211163,97152
05211203,79491
05211213,64927
05211253,23179
05211343,73698
05211383,51991
05211393,29205
05211403,326067
05211433,15359
05211513,116040.8
05211533,55775
05211543,95641
05211553,31128
05211643,178973.3
05211673,132529.6
05211743,45664
05211793,41247
05211823,40633
05211833,97339
05211873,59188.2
05211903,381909.8
05211923,106315.3
05211973,26416
05212003,44723
05212013,82249
05212023,73373
05212063,37794.8
05212133,87240.4
05212153,143959
05212223,20474
05212253,37456.2
05212283,19074
05212353,94820.6
05212364,95128
05212453,214673.4
05212463,106721
05212513,3407.2
05212533,343952.6
05212583,74562.2
05212593,34920
05212603,27468
05212623,17316
05212633,117665
05212663,78376
05212683,104918
05212723,93790
05212733,24234.4
05212773,64952
05212793,63342.1
05212833,13135
05212863,169440
05212983,21686
05213023,88857
05213063,35705
05213113,72784
05213123,34664.6
05213153,28942
05213163,104811
05213243,13039
