NEWID,FINCATAX
988575,19380
988585,9406
988595,-4000
988615,47317
988645,7934
988675,19563
988695,47974
988715,0
988725,20650
988735,31425
988745,13150
988755,96601
988765,0
988775,0
988805,39310
988815,0
988835,40050
988865,53944
988875,55120
988895,70000
988905,331886
988955,37000
988975,67597
988985,29432
989005,0
989045,16420
989115,97214
989145,15125
989155,16200
989175,1092
989215,96981
989235,65667
989255,98881
989265,69170
989275,22000
989305,2968
989315,0
989355,16696
989385,0
989395,61100
989405,35250
989415,36410
989425,40255
989435,17568
989475,0
989485,0
989495,0
989525,23898
989535,73700
989565,41389
989605,0
989615,10146
989625,76665
989655,8574
989675,40210
989695,546
989715,24823
989755,54356
989795,22140
989805,25000
989815,41430
989835,66693
989845,81800
989875,78100
989885,22306
989895,30750
989915,35000
989925,12426
989935,17118
989945,21560
989985,11000
989995,41321
990005,22979
990055,101851
990095,23493
990125,6500
990135,11156
990225,54333
990255,65000
990265,69461
990305,27056
990325,27984
990345,8388
990355,23992
990365,18093
990375,37455
990385,74901
990415,0
990435,47151
990455,4146
990465,11658
990475,6037
990485,10000
990495,8306
990505,18480
990515,107577
990535,30000
990545,62303
990555,-1300
990565,32760
990595,0
990625,10000
990635,16409
990655,54402
990685,53892
990715,24796
990735,24096
990745,70619
990755,546
990765,16466
990775,5100
990785,7922
990795,36189
990815,6590
990825,0
990845,0
990855,38723
990865,22169
990885,42206
990895,17706
990955,21192
990965,42100
990975,64780
991005,2342
991025,0
991035,34713
991045,17658
991065,44356
991075,66800
991085,27656
991095,21828
991145,93419
991175,11425
991195,0
991205,39000
991215,5248
991225,43177
991245,9400
991255,13000
991265,21492
991275,55000
991285,28300
991295,20118
991315,0
991335,21740
991365,0
991385,33413
991405,58575
991425,0
991435,120519
991445,0
991455,90589
991475,261974
991495,41560
991545,2760
991555,0
991575,1500
991595,26272
991605,80544
991655,118535
991665,1092
991705,10098
991715,15562
991725,13126
991745,18300
991765,92400
991785,-2800
991805,20400
991825,-3054
991835,100
991845,24720
991855,96603
991875,99767
991885,36000
991905,0
991915,0
991925,47200
991975,22983
992025,54832
992045,-2500
992075,51500
992085,0
992095,6919
992105,0
992115,4940
992155,105102
992165,47712
992195,271826
992215,35300
992245,0
992255,1525
992285,7378
992305,0
992315,7604
992325,33487
992355,6792
992365,19548
992375,19404
992415,32000
992435,18266
992465,20000
992475,32640
992485,0
992515,546
992555,57851
992565,0
992585,0
992595,0
992615,36177
992635,50810
992655,48000
992685,65000
992705,7686
992715,41504
992725,28900
992755,12080
992785,18968
992795,31064
992805,101014
992815,18273
992845,87338
992855,20000
992875,18000
992915,0
992995,95487
993035,12780
993065,102000
993105,12902
993125,47853
993135,30000
993145,64794
993155,207154
993175,0
993195,307283
993205,546
993245,47010
993275,20538
993295,23326
993305,0
993365,51620
993375,130300
993395,0
993405,17652
993425,15786
993435,0
993465,124641
993485,0
993535,32346
993545,34608
993585,13584
993595,60990
993635,65572
993665,13706
993685,0
993705,10866
993735,34876
993755,194467
993845,76010
993865,6576
993915,75858
993925,0
993955,38624
993995,48000
994015,20000
994045,31148
994085,6840
994095,30183
994125,11607
994145,47600
994165,31132
994195,30080
994205,2482
994215,6033
994235,66600
994265,31641
994275,22540
994295,34171
994305,37154
994325,69067
994355,14967
994365,83863
994375,15620
994405,85000
994445,35892
994455,0
994485,19400
994535,17542
994565,21439
994595,100881
994645,0
994675,9882
994685,10021
994695,102000
994705,22366
994725,41000
994735,10656
994755,26780
994765,0
994775,40962
994785,44631
994795,0
994825,12920
994835,62256
994845,0
994885,22000
994895,15539
994915,86700
994935,80813
994955,62323
994965,88586
994975,76370
995055,10686
995065,0
995075,21100
995105,37884
995125,0
995135,126000
995175,61400
995205,55700
995215,36277
995225,75000
995265,55659
995285,36500
995295,44037
995305,0
995315,19398
995365,19296
995405,84200
995425,11176
995435,0
995445,56270
995505,0
995515,33400
995525,56000
995565,12000
995575,14800
995585,43081
995635,11802
995645,119246
995655,7266
995665,91500
995685,34975
995695,11262
995745,0
995755,50137
995775,55982
995785,23192
995795,0
995835,44928
995875,10376
995885,92403
995905,41000
995915,40000
995955,136192
995965,-339
995985,12500
995995,50124
996005,63000
996015,0
996025,66135
996055,31000
996075,31357
996115,64326
996125,56219
996135,29436
996145,33747
996175,4540
996205,74261
996215,41692
996225,51700
996235,17350
996245,66802
996255,91400
996295,4789
996315,-270
996325,12600
996335,28134
996345,246019
996355,27255
996415,69186
996435,23050
996455,28691
996465,6870
996485,315225
996515,75500
996545,7686
996555,36139
996635,22293
996725,280128
996755,28386
996785,11072
996795,1178
996805,0
996845,7182
996855,54720
996865,0
996875,89589
996885,12760
996925,15582
996955,66750
996975,38000
997005,10734
997015,24771
997025,49000
997065,18
997075,18177
997085,30563
997105,11322
997155,59000
997165,5646
997185,69850
997195,0
997225,19000
997245,16260
997255,0
997275,52767
997285,0
997325,10464
997335,0
997355,8280
997365,101725
997385,0
997395,63420
997405,10122
997435,10300
997445,100198
997455,87626
997515,11700
997565,0
997575,7740
997635,32711
997665,53595
997685,109545
997725,1390
997745,0
997755,0
997765,7998
997775,11623
997815,62530
997845,100351
997865,83000
997905,0
997925,18287
997935,99419
997945,32117
997965,17000
998005,47160
998015,15035
998035,18186
998045,5680
998075,8928
998105,54602
998115,25200
998125,58906
998155,13890
998185,24858
998195,87100
998215,26000
998235,51137
998275,8003
998285,1092
998305,25884
998325,21684
998345,0
998355,0
998365,59913
998405,38616
998415,75000
998435,17460
998465,2500
998485,140050
998495,52419
998525,0
998535,11250
998545,0
998565,560
998585,39537
998595,5401
998635,26350
998705,0
998775,22116
998785,97891
998795,115925
998805,70000
998815,36300
998825,272576
998835,24339
998845,2580
998875,39066
998885,1092
998895,16546
998915,740
998925,121500
998945,10175
998955,55993
998965,1338
998985,67963
999005,55960
999065,11334
999075,0
999095,13847
999125,62842
999145,39211
999165,0
999175,15528
999185,0
999195,41749
999205,546
999225,119321
999255,30
999275,55269
999285,0
999325,99476
999345,36615
999355,30831
999385,85200
999395,3181
999405,0
999415,26546
999435,49080
999445,0
999465,59472
999475,42628
999495,0
999515,35426
999525,0
999545,44548
999555,73446
999575,27546
999585,30203
999595,42450
999605,41126
999615,0
999625,0
999635,37815
999665,0
999675,0
999695,14559
999705,95084
999715,56425
999725,10416
999735,122717
999745,58609
999765,104187
999785,171085
999805,14946
999825,31310
999835,20983
999845,57102
999855,31419
999865,20700
999895,39114
999905,48630
999915,0
999925,40650
999935,10400
999975,1092
1000005,5826
1000015,26966
1000025,74475
1000055,0
1000065,78113
1000075,81310
1000085,58420
1000125,0
1000165,2070
1000175,0
1000195,6510
1000205,10866
1000215,7746
1000235,74553
1000245,2000
1000265,29168
1000285,11958
1000315,19745
1000335,79260
1000375,4200
1000395,59827
1000405,0
1000415,6144
1000425,0
1000435,21696
1000525,2000
1000535,1092
1000555,9897
1000575,61512
1000615,68546
1000625,17480
1000635,106385
1000655,15546
1000665,56757
1000705,37249
1000715,0
1000725,14526
1000745,23300
1000775,22788
1000805,-7157
1000815,13470
1000825,19250
1000835,25775
1000855,96296
1000865,12346
1000945,27126
1000985,57466
1000995,0
1001035,73280
1001055,64613
1001085,22894
1001105,0
1001235,0
1001275,17292
1001335,27532
1001345,103720
1001365,546
1001385,143600
1001405,110062
1001415,0
1001425,59351
1001455,41385
1001505,13662
1001525,28366
1001545,73745
1001555,94828
1001565,13148
1001605,6450
1001625,64900
1001645,63546
1001675,0
1001685,60910
1001705,42040
1001715,33836
1001725,50000
1001755,7834
1001765,18000
1001785,38527
1001795,0
1001805,0
1001835,0
1001875,94276
1001885,546
1001895,18476
1001905,0
1001915,15000
1001925,71029
1001935,31468
1001995,16236
1002005,36731
1002075,55968
1002115,21840
1002125,51953
1002135,642
1002165,25206
1002175,0
1002185,36030
1002215,60783
1002225,60000
1002235,59722
1002255,38998
1002315,92500
1002325,0
1002335,7154
1002375,52000
1002385,27099
1002415,0
1002435,91062
1002445,43750
1002475,11000
1002495,38000
1002505,50918
1002515,13026
1002535,29725
1002565,30000
1002575,6546
1002595,0
1002615,7010
1002625,49362
1002635,80000
1002645,58000
1002675,0
1002685,25717
1002705,66300
1002715,0
1002745,12270
1002755,12306
1002765,59000
1002775,7586
1002795,29380
1002805,17238
1002865,0
1002875,20667
1002885,53400
1002915,43750
1002925,51305
1002955,91000
1002985,110000
1003015,15080
1003035,14154
1003045,59542
1003055,1512
1003065,23166
1003075,347
1003105,0
1003135,43827
1003145,30591
1003155,1092
1003165,65890
1003185,18572
1003195,50000
1003205,64
1003215,36300
1003245,228827
1003255,36800
1003285,0
1003305,26700
1003325,16000
1003335,62000
1003355,138000
1003375,0
1003385,80809
1003445,121500
1003475,34458
1003485,50487
1003495,546
1003515,37717
1003535,0
1003545,55440
1003555,57641
1003575,15228
1003585,23216
1003595,41700
1003605,0
1003615,14000
1003625,88360
1003645,34326
1003655,9281
1003675,0
1003695,40792
1003705,80404
1003715,23000
1003735,100917
1003745,22652
1003775,0
1003795,51505
1003815,2000
1003895,0
1003905,0
1003945,0
1003955,54091
1003965,112225
1003975,51726
1003995,18780
1004005,7352
1004015,0
1004025,5373
1004055,57689
1004065,392837
1004075,81436
1004095,30050
1004115,20115
1004135,15128
1004145,13650
1004165,67500
1004175,12870
1004185,96800
1004195,91446
1004215,16000
1004225,17684
1004295,90000
1004305,10000
1004345,19114
1004355,15288
1004375,84000
1004435,55725
1004445,0
1004455,48609
1004465,47062
1004475,50235
1004495,28313
1004505,0
1004515,57460
1004525,0
1004545,17454
1004565,58500
1004575,58000
1004585,0
1004595,21706
1004615,34027
1004665,174850
1004685,43133
1004695,39600
1004705,0
1004735,25528
1004765,7950
1004795,17902
1004805,0
1004825,80112
1004835,15508
1004855,80770
1004865,0
1004875,34670
1004885,239596
1004925,77193
1004935,0
1004945,16206
1004965,18924
1004975,31478
1004985,26000
1004995,19800
1005005,13449
1005015,63000
1005025,22194
1005035,23236
1005045,37850
1005055,17170
1005075,14875
1005105,65933
1005145,113696
1005165,0
1005185,23544
1005195,113406
1005205,86600
1005235,0
1005245,0
1005295,10146
1005315,0
1005325,546
1005335,48921
1005355,13932
1005375,0
1005385,54039
1005395,0
1005405,57968
1005415,83391
1005435,129819
1005455,51794
1005465,7446
1005475,60750
1005495,23133
1005505,36532
1005575,8200
1005585,44000
1005595,66961
1005605,46161
1005615,22826
1005625,42725
1005685,0
1005695,12048
1005705,22350
1005745,49500
1005755,16300
1005765,30115
1005805,37505
1005815,39525
1005855,30559
1005865,-1300
1005875,63696
1005895,48150
1005915,7746
1005935,43760
1005955,33014
1005965,33000
1005975,-23042
1005985,25000
1005995,20915
1006005,35124
1006055,546
1006135,100271
1006165,15492
1006185,76000
1006195,25800
1006225,63617
1006235,0
1006245,45600
1006265,10518
1006275,-408
1006315,43708
1006335,15164
1006355,26500
1006385,912
1006405,33082
1006425,23190
1006445,546
1006475,66256
1006505,1000
1006515,0
1006525,27810
1006545,36380
1006565,0
1006585,7740
1006625,35546
1006635,62731
1006645,46414
1006655,34233
1006665,344086
1006685,546
1006715,0
1006735,56530
1006745,108139
1006765,22225
1006785,18000
1006795,2400
1006805,880
1006815,6810
1006835,3000
1006865,54816
1006885,0
1006895,63960
1006905,89054
1006915,21400
1006985,6054
1007005,546
1007025,11346
1007035,15616
1007065,197
1007085,0
1007095,0
1007105,27336
1007115,119645
1007125,16270
1007155,0
1007185,64151
1007195,0
1007205,25048
1007215,54480
1007255,46902
1007305,13386
1007315,0
1007355,1092
1007365,14585
1007375,39016
1007385,20868
1007395,41326
1007405,9006
1007415,16837
1007425,0
1007435,0
1007445,65100
1007465,18000
1007475,61100
1007485,28620
1007495,14214
